"Fecha","Open","High","Low","Close","Adj.Close","Volume"
2007-01-02,44476,45388,44476,45383,45383,75560200
2007-01-03,45379,45379,44284,44445,44445,122372800
2007-01-04,44442,44442,43623,44020,44020,86577000
2007-01-05,44019,44081,42160,42245,42245,164055000
2007-01-08,42249,42926,42144,42830,42830,114007100
2007-01-09,42831,43001,41438,42007,42007,112991900
2007-01-10,42001,42336,41266,42336,42336,110755900
2007-01-11,42336,43128,41940,42670,42670,84165800
2007-01-12,42669,43188,42526,43095,43095,96842400
2007-01-15,43095,43473,42875,42919,42919,45027800
2007-01-16,42916,42916,42415,42624,42624,93088400
2007-01-17,42626,42930,42252,42735,42735,73003000
2007-01-18,42741,43402,42407,42478,42478,97203200
2007-01-19,42477,43428,42477,43428,43428,0
2007-01-22,43431,43879,43183,43553,43553,70802000
2007-01-23,43549,44243,43432,44177,44177,109921200
2007-01-24,44177,44808,44041,44687,44687,114652200
2007-01-26,44687,44687,43870,44412,44412,102456700
2007-01-29,44414,44435,43555,43573,43573,95144400
2007-01-30,43573,44065,43508,44044,44044,110700200
2007-01-31,44046,44643,43824,44642,44642,131510700
2007-02-01,44642,45212,44642,44815,44815,120498200
2007-02-02,44815,45204,44597,44998,44998,106514300
2007-02-05,44999,45286,44851,45286,45286,79481200
2007-02-06,45287,45486,45038,45352,45352,109404000
2007-02-07,45352,45425,44488,44588,44588,114293700
2007-02-08,44585,44892,44070,44892,44892,124663400
2007-02-09,44894,45050,44180,44284,44284,133298700
2007-02-12,44286,44464,43850,43935,43935,94842200
2007-02-13,43932,45197,43932,45197,45197,116712300
2007-02-14,45198,46106,45198,45996,45996,232265300
2007-02-15,45996,46178,45734,45955,45955,140012600
2007-02-16,45955,45966,45614,45849,45849,107391100
2007-02-21,45849,46095,45558,46090,46090,73069000
2007-02-22,46097,46752,46097,46452,46452,121582000
2007-02-23,46452,46517,45813,46016,46016,76534200
2007-02-26,46021,46450,45885,46207,46207,94900800
2007-02-27,46190,46190,42571,43145,43145,189354000
2007-02-28,43150,43923,43122,43892,43892,176098100
2007-03-01,43886,43886,42037,43517,43517,131228800
2007-03-02,43518,43518,42297,42370,42370,199570400
2007-03-05,42370,42370,41117,41179,41179,123682700
2007-03-06,41192,43218,41192,43218,43218,119195300
2007-03-07,43224,43396,42660,42667,42667,128354000
2007-03-08,42672,43726,42672,43466,43466,85353800
2007-03-09,43466,44173,43466,44133,44133,129008600
2007-03-12,44133,44406,43845,44249,44249,116185400
2007-03-13,44249,44249,42724,42749,42749,159221400
2007-03-14,42749,43290,42051,43288,43288,160333800
2007-03-15,43289,43573,42951,43278,43278,136954300
2007-03-16,43278,43568,42598,42730,42730,112346700
2007-03-19,42734,43714,42734,43713,43713,142704400
2007-03-20,43713,44353,43679,44351,44351,165675100
2007-03-21,44350,45631,44350,45631,45631,201404600
2007-03-22,45631,45950,45272,45424,45424,139703500
2007-03-23,45425,45759,45168,45533,45533,82313000
2007-03-26,45533,45712,44965,45645,45645,78423800
2007-03-27,45646,45646,45143,45207,45207,95099400
2007-03-28,45204,45204,44315,44484,44484,132180500
2007-03-29,44493,45570,44493,45355,45355,134403900
2007-03-30,45355,45805,45138,45805,45805,124972500
2007-04-02,45805,45805,45225,45597,45597,141629100
2007-04-03,45601,46481,45601,46288,46288,208963000
2007-04-04,46290,46692,46113,46554,46554,121560000
2007-04-05,46555,46767,46418,46647,46647,113833700
2007-04-09,46650,47239,46650,46855,46855,124565500
2007-04-10,46855,47234,46822,47174,47174,165433200
2007-04-11,47173,47573,46680,46939,46939,169053700
2007-04-12,46941,47389,46506,47347,47347,117205600
2007-04-13,47347,47968,47267,47926,47926,122908200
2007-04-16,47925,49022,47925,48921,48921,155061700
2007-04-17,48923,49156,48631,48755,48755,140107200
2007-04-18,48760,49339,48456,48710,48710,190930900
2007-04-19,48705,48837,47917,48762,48762,168338300
2007-04-20,48763,49459,48763,49408,49408,155979900
2007-04-23,49409,49477,49097,49162,49162,84795800
2007-04-24,49162,49259,48602,49071,49071,85154000
2007-04-25,49072,49816,49072,49676,49676,139457700
2007-04-26,49678,49856,49060,49068,49068,130519800
2007-04-27,49067,49232,48311,49230,49230,97450000
2007-04-30,49222,49482,48744,48956,48956,155714300
2007-05-02,48955,49630,48953,49472,49472,82439200
2007-05-03,49472,50318,49472,50218,50218,61496600
2007-05-04,50218,50898,50218,50598,50598,48752600
2007-05-07,50591,50618,50154,50282,50282,30581600
2007-05-08,50276,50369,49526,50278,50278,58598200
2007-05-09,50277,51369,50149,51300,51300,129546400
2007-05-10,51298,51298,50205,50235,50235,183381300
2007-05-11,50235,51083,50235,50902,50902,146071500
2007-05-14,50910,51066,50298,50511,50511,82391800
2007-05-15,50511,51042,50370,50518,50518,88112800
2007-05-16,50518,51738,50518,51738,51738,154949100
2007-05-17,51741,51959,51374,51631,51631,100343900
2007-05-18,51633,52088,51499,52078,52078,103165200
2007-05-21,52078,52691,52078,52423,52423,128956500
2007-05-22,52424,52561,52039,52208,52208,54601200
2007-05-23,52210,52505,51670,51813,51813,177385300
2007-05-24,51813,51891,50214,50531,50531,104114900
2007-05-25,50541,51633,50541,51618,51618,93920400
2007-05-28,51616,52209,51616,52120,52120,58686200
2007-05-29,52121,52545,51271,51713,51713,158100700
2007-05-30,51706,52595,50607,52528,52528,140483000
2007-05-31,52536,52877,52098,52268,52268,125166600
2007-06-01,52271,53423,52271,53423,53423,148685200
2007-06-04,53423,53423,52651,53243,53243,90055800
2007-06-05,53245,53271,52673,53162,53162,89869200
2007-06-06,53162,53162,51869,52049,52049,92944800
2007-06-08,52045,52500,50885,52330,52330,84325800
2007-06-11,52324,52952,52184,52777,52777,81569800
2007-06-12,52776,52776,51643,51797,51797,75774200
2007-06-13,51799,53226,51799,52994,52994,175650400
2007-06-14,53011,53798,53009,53713,53713,97862600
2007-06-15,53723,54726,53723,54519,54519,123495800
2007-06-18,54519,55000,54355,54730,54730,115684800
2007-06-19,54730,54797,54450,54644,54644,99302200
2007-06-20,54644,55003,54029,54029,54029,120526300
2007-06-21,54030,54844,53911,54657,54657,103576000
2007-06-22,54644,54644,53952,54267,54267,94636800
2007-06-25,54270,54605,53605,54042,54042,84710200
2007-06-26,54045,54413,53842,53852,53852,68430600
2007-06-27,53852,54164,53202,54143,54143,86424600
2007-06-28,54154,54648,54147,54147,54147,89190200
2007-06-29,54150,54783,53958,54392,54392,85396000
2007-07-02,54396,55386,54396,55371,55371,67223800
2007-07-03,55371,55783,55259,55700,55700,33761000
2007-07-04,55698,56000,55598,55696,55696,23831400
2007-07-05,55696,55932,55345,55932,55932,54025000
